id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,StPrice1,StPrice2,StPriceCombine
1,CDS,cde_fo,EURINR,1001,FUTCUR,XX,-1,EURINR23JUNFUT,EURINR23JUNFUT,EURINR 27JUN23 FUT,27-06-2023,1,0.0025,,,
2,CDS,cde_fo,EURINR,1002,OPTCUR,CE,94.75,EURINR26APRIL2394.75CE,EURINR23APR94.75CE,EURINR 26APR23 94.75 CE,26-04-2023,1,0.0025,94,75,94.75
3,CDS,cde_fo,EURINR,1003,OPTCUR,CE,94,EURINR02JUNE2394CE,EURINR2360294CE,EURINR 02JUN23 94 CE,02-06-2023,1,0.0025,94,,94
4,CDS,cde_fo,EURINR,1004,OPTCUR,PE,94,EURINR02JUNE2394PE,EURINR2360294PE,EURINR 02JUN23 94 PE,02-06-2023,1,0.0025,94,,94
5,CDS,cde_fo,EURINR,1005,FUTCUR,XX,-1,EURINR23MAYFUT,EURINR23519FUT,EURINR 19MAY23 FUT,19-05-2023,1,0.0025,,,
6,CDS,cde_fo,EURUSD,1006,FUTCUR,XX,-1,EURUSD23JUNFUT,EURUSD23JUNFUT,EURUSD 27JUN23 FUT,27-06-2023,1,0.0001,,,
7,CDS,cde_fo,EURINR,1007,FUTCUR,XX,-1,EURINR23OCTFUT,EURINR23OCTFUT,EURINR 27OCT23 FUT,27-10-2023,1,0.0025,,,
8,CDS,cde_fo,11NSETEST,1009,FUTCUR,XX,-1,11NSETEST36DECFUT,11NSETEST36DFUT,11NSETEST 30DEC36 FUT,30-12-2036,1,0.0025,,,
9,CDS,cde_fo,EURINR,1010,FUTCUR,XX,-1,EURINR23JUNFUT,EURINR23616FUT,EURINR 16JUN23 FUT,16-06-2023,1,0.0025,,,
10,CDS,cde_fo,GBPINR,1011,OPTCUR,CE,93.75,GBPINR04MAY2393.75CE,GBPINR2350493.75CE,GBPINR 04MAY23 93.75 CE,04-05-2023,1,0.0025,93,75,93.75
11,CDS,cde_fo,EURINR,1012,OPTCUR,CE,94.25,EURINR02JUNE2394.25CE,EURINR2360294.25CE,EURINR 02JUN23 94.25 CE,02-06-2023,1,0.0025,94,25,94.25
12,CDS,cde_fo,GBPINR,1013,OPTCUR,PE,93.75,GBPINR04MAY2393.75PE,GBPINR2350493.75PE,GBPINR 04MAY23 93.75 PE,04-05-2023,1,0.0025,93,75,93.75
13,CDS,cde_fo,EURINR,1014,OPTCUR,PE,94.25,EURINR02JUNE2394.25PE,EURINR2360294.25PE,EURINR 02JUN23 94.25 PE,02-06-2023,1,0.0025,94,25,94.25
14,CDS,cde_fo,EURINR,1015,FUTCUR,XX,-1,EURINR24MARFUT,EURINR24MARFUT,EURINR 28MAR24 FUT,28-03-2024,1,0.0025,,,
15,CDS,cde_fo,GBPINR,1016,FUTCUR,XX,-1,GBPINR23JUNFUT,GBPINR23616FUT,GBPINR 16JUN23 FUT,16-06-2023,1,0.0025,,,
16,CDS,cde_fo,EURUSD,1017,FUTCUR,XX,-1,EURUSD24MARFUT,EURUSD24MARFUT,EURUSD 28MAR24 FUT,28-03-2024,1,0.0001,,,
17,CDS,cde_fo,EURINR,1018,OPTCUR,CE,93.25,EURINR26MAY2393.25CE,EURINR2352693.25CE,EURINR 26MAY23 93.25 CE,26-05-2023,1,0.0025,93,25,93.25
18,CDS,cde_fo,EURINR,1019,OPTCUR,PE,93.25,EURINR26MAY2393.25PE,EURINR2352693.25PE,EURINR 26MAY23 93.25 PE,26-05-2023,1,0.0025,93,25,93.25
19,CDS,cde_fo,EURINR,1020,OPTCUR,CE,83,EURINR28APRIL2383CE,EURINR2342883CE,EURINR 28APR23 83 CE,28-04-2023,1,0.0025,83,,83
20,CDS,cde_fo,EURUSD,1022,OPTCUR,CE,0.935,EURUSD27JUNE230.935CE,EURUSD23JUN0.935CE,EURUSD 27JUN23 0.935 CE,27-06-2023,1,0.0001,,935,.935
21,CDS,cde_fo,GBPINR,1023,OPTCUR,CE,95.75,GBPINR23JUNE2395.75CE,GBPINR2362395.75CE,GBPINR 23JUN23 95.75 CE,23-06-2023,1,0.0025,95,75,95.75
22,CDS,cde_fo,JPYINR,1024,OPTCUR,CE,56.5,JPYINR04MAY2356.5CE,JPYINR2350456.5CE,JPYINR 04MAY23 56.5 CE,04-05-2023,1,0.0025,56,5,56.5
23,CDS,cde_fo,EURUSD,1025,OPTCUR,PE,0.935,EURUSD27JUNE230.935PE,EURUSD23JUN0.935PE,EURUSD 27JUN23 0.935 PE,27-06-2023,1,0.0001,,935,.935
24,CDS,cde_fo,GBPINR,1026,OPTCUR,PE,95.75,GBPINR23JUNE2395.75PE,GBPINR2362395.75PE,GBPINR 23JUN23 95.75 PE,23-06-2023,1,0.0025,95,75,95.75
25,CDS,cde_fo,EURUSD,1027,FUTCUR,XX,-1,EURUSD23OCTFUT,EURUSD23OCTFUT,EURUSD 27OCT23 FUT,27-10-2023,1,0.0001,,,
26,CDS,cde_fo,GBPINR,1028,FUTCUR,XX,-1,GBPINR23OCTFUT,GBPINR23OCTFUT,GBPINR 27OCT23 FUT,27-10-2023,1,0.0025,,,
27,CDS,cde_fo,EURINR,1029,FUTCUR,XX,-1,EURINR24FEBFUT,EURINR24FEBFUT,EURINR 27FEB24 FUT,27-02-2024,1,0.0025,,,
28,CDS,cde_fo,GBPINR,1030,OPTCUR,CE,96,GBPINR23JUNE2396CE,GBPINR2362396CE,GBPINR 23JUN23 96 CE,23-06-2023,1,0.0025,96,,96
29,CDS,cde_fo,GBPINR,1031,OPTCUR,PE,96,GBPINR23JUNE2396PE,GBPINR2362396PE,GBPINR 23JUN23 96 PE,23-06-2023,1,0.0025,96,,96
30,CDS,cde_fo,GBPINR,1032,OPTCUR,CE,106.5,GBPINR12MAY23106.5CE,GBPINR23512106.5CE,GBPINR 12MAY23 106.5 CE,12-05-2023,1,0.0025,106,5,106.5
31,CDS,cde_fo,GBPINR,1033,OPTCUR,PE,106.5,GBPINR12MAY23106.5PE,GBPINR23512106.5PE,GBPINR 12MAY23 106.5 PE,12-05-2023,1,0.0025,106,5,106.5
32,CDS,cde_fo,GBPINR,1034,OPTCUR,CE,106.75,GBPINR12MAY23106.75CE,GBPINR23512106.75CE,GBPINR 12MAY23 106.75 CE,12-05-2023,1,0.0025,106,75,106.75
33,CDS,cde_fo,JPYINR,1035,OPTCUR,CE,55.25,JPYINR02JUNE2355.25CE,JPYINR2360255.25CE,JPYINR 02JUN23 55.25 CE,02-06-2023,1,0.0025,55,25,55.25
34,CDS,cde_fo,JPYINR,1036,OPTCUR,PE,55.25,JPYINR02JUNE2355.25PE,JPYINR2360255.25PE,JPYINR 02JUN23 55.25 PE,02-06-2023,1,0.0025,55,25,55.25
35,CDS,cde_fo,GBPINR,1037,OPTCUR,PE,106.75,GBPINR12MAY23106.75PE,GBPINR23512106.75PE,GBPINR 12MAY23 106.75 PE,12-05-2023,1,0.0025,106,75,106.75
36,CDS,cde_fo,EURUSD,1039,OPTCUR,CE,0.935,EURUSD26APRIL230.935CE,EURUSD23APR0.935CE,EURUSD 26APR23 0.935 CE,26-04-2023,1,0.0001,,935,.935
37,CDS,cde_fo,JPYINR,1040,OPTCUR,PE,56.5,JPYINR04MAY2356.5PE,JPYINR2350456.5PE,JPYINR 04MAY23 56.5 PE,04-05-2023,1,0.0025,56,5,56.5
38,CDS,cde_fo,EURUSD,1042,OPTCUR,PE,0.935,EURUSD26APRIL230.935PE,EURUSD23APR0.935PE,EURUSD 26APR23 0.935 PE,26-04-2023,1,0.0001,,935,.935
39,CDS,cde_fo,JPYINR,1043,OPTCUR,CE,56.75,JPYINR04MAY2356.75CE,JPYINR2350456.75CE,JPYINR 04MAY23 56.75 CE,04-05-2023,1,0.0025,56,75,56.75
40,CDS,cde_fo,GBPUSD,1044,OPTCUR,CE,1.095,GBPUSD27JUNE231.095CE,GBPUSD23JUN1.095CE,GBPUSD 27JUN23 1.095 CE,27-06-2023,1,0.0001,1,95,1.95
41,CDS,cde_fo,GBPINR,1045,FUTCUR,XX,-1,GBPINR23JUNFUT,GBPINR23JUNFUT,GBPINR 27JUN23 FUT,27-06-2023,1,0.0025,,,
42,CDS,cde_fo,EURUSD,1048,OPTCUR,CE,0.935,EURUSD29MAY230.935CE,EURUSD23MAY0.935CE,EURUSD 29MAY23 0.935 CE,29-05-2023,1,0.0001,,935,.935
43,CDS,cde_fo,GBPINR,1051,FUTCUR,XX,-1,GBPINR24MARFUT,GBPINR24MARFUT,GBPINR 28MAR24 FUT,28-03-2024,1,0.0025,,,
