Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,FreezeQty
MCX,mcx_fo,GOLD,243252,OPTFUT,CE,54100,GOLD23MAY54100CE,GOLD23MAY54100CE,GOLD 25MAY23 54100 CE,2023-05-25,1,0.5,100
MCX,mcx_fo,GOLD,243253,OPTFUT,PE,54100,GOLD23MAY54100PE,GOLD23MAY54100PE,GOLD 25MAY23 54100 PE,2023-05-25,1,0.5,100
MCX,mcx_fo,GOLD,243254,OPTFUT,CE,54200,GOLD23MAY54200CE,GOLD23MAY54200CE,GOLD 25MAY23 54200 CE,2023-05-25,1,0.5,100
MCX,mcx_fo,GOLD,243255,OPTFUT,PE,54200,GOLD23MAY54200PE,GOLD23MAY54200PE,GOLD 25MAY23 54200 PE,2023-05-25,1,0.5,100
MCX,mcx_fo,GOLD,243258,OPTFUT,CE,54300,GOLD23MAY54300CE,GOLD23MAY54300CE,GOLD 25MAY23 54300 CE,2023-05-25,1,0.5,100
MCX,mcx_fo,GOLD,243259,OPTFUT,PE,54300,GOLD23MAY54300PE,GOLD23MAY54300PE,GOLD 25MAY23 54300 PE,2023-05-25,1,0.5,100
MCX,mcx_fo,GOLD,243260,OPTFUT,CE,54400,GOLD23MAY54400CE,GOLD23MAY54400CE,GOLD 25MAY23 54400 CE,2023-05-25,1,0.5,100
MCX,mcx_fo,GOLD,243261,OPTFUT,PE,54400,GOLD23MAY54400PE,GOLD23MAY54400PE,GOLD 25MAY23 54400 PE,2023-05-25,1,0.5,100
MCX,mcx_fo,GOLD,243262,OPTFUT,CE,54500,GOLD23MAY54500CE,GOLD23MAY54500CE,GOLD 25MAY23 54500 CE,2023-05-25,1,0.5,100
MCX,mcx_fo,GOLD,243263,OPTFUT,PE,54500,GOLD23MAY54500PE,GOLD23MAY54500PE,GOLD 25MAY23 54500 PE,2023-05-25,1,0.5,100
MCX,mcx_fo,GOLD,243264,OPTFUT,CE,54600,GOLD23MAY54600CE,GOLD23MAY54600CE,GOLD 25MAY23 54600 CE,2023-05-25,1,0.5,100
